generation,best_time,experiment,technique,rep
0,15635559444243.18,rosenbrock,PSO_GA_Bandit,1
0,91733496611.4131,rosenbrock,PSO_GA_Bandit,1
1,88208300759.47272,rosenbrock,PSO_GA_Bandit,1
1,5378803421.504222,rosenbrock,PSO_GA_Bandit,1
2,3904603312.8501544,rosenbrock,PSO_GA_Bandit,1
3,3671388092.819807,rosenbrock,PSO_GA_Bandit,1
4,1102225592.1429665,rosenbrock,PSO_GA_Bandit,1
5,1007409843.3642645,rosenbrock,PSO_GA_Bandit,1
6,185151374.29793778,rosenbrock,PSO_GA_Bandit,1
9,4535248.236067475,rosenbrock,PSO_GA_Bandit,1
13,533838.8057698847,rosenbrock,PSO_GA_Bandit,1
